referencia,periodo,pobreza,extrema_pobreza,total,populacao_estimada,porcentagem_pobreza,porcentagem_extrema_pobreza,porcentagem_vulnerabilidade,familias_pobreza,familias_extrema_pobreza,familias_vulnerabilidade,indigenas_pobreza,indigenas_extrema_pobreza,indigenas_vulnerabilidade,quilombolas_pobreza,quilombolas_extrema_pobreza,quilombolas_vulnerabilidade,ciganos_pobreza,ciganos_extrema_pobreza,ciganos_vulnerabilidade
Janeiro ,201901,9734050,38332528,48066578,210147125,0.05,0.18,0.23,3020935,12948788,15969723,13276,115865,129141,10217,123901,134118,675,4941,5616
Fevereiro ,201902,9745155,38584561,48329716,210147125,0.05,0.18,0.23,3033132,13068178,16101310,13212,116593,129805,10167,124618,134785,678,4992,5670
Março ,201903,9779256,38684811,48464067,210147125,0.05,0.18,0.23,3047937,13144553,16192490,13368,117056,130424,10213,125242,135455,665,5049,5714
Abril ,201904,9452845,38358027,47810872,210147125,0.04,0.18,0.23,2946923,13022471,15969394,13042,116582,129624,9936,124964,134900,632,5080,5712
Maio ,201905,9476445,38597800,48074245,210147125,0.05,0.18,0.23,2961300,13149589,16110889,13220,117469,130689,9997,126071,136068,629,5138,5767
Junho ,201906,9504527,38874312,48378839,210147125,0.05,0.18,0.23,2977497,13283061,16260558,13246,118427,131673,10056,127346,137402,637,5201,5838
Julho ,201907,9528040,38974663,48502703,210147125,0.05,0.19,0.23,2991368,13352349,16343717,13335,118889,132224,10153,127782,137935,649,5236,5885
Agosto ,201908,9543831,39057948,48601779,210147125,0.05,0.19,0.23,3005580,13424806,16430386,13384,119638,133022,10196,128334,138530,647,5282,5929
Setembro ,201909,8890018,38339308,47229326,210147125,0.04,0.18,0.22,2805743,13186808,15992551,12656,118002,130658,9704,127672,137376,625,5287,5912
Outubro ,201910,8944228,38597613,47541841,210147125,0.04,0.18,0.23,2831199,13310467,16141666,12785,118861,131646,9794,128751,138545,624,5357,5981
Novembro ,201911,8962367,38855967,47818334,210147125,0.04,0.18,0.23,2842935,13420184,16263119,12785,119812,132597,9824,129631,139455,629,5405,6034
Dezembro ,201912,8977608,39090704,48068312,210147125,0.04,0.19,0.23,2853527,13520588,16374115,12817,120586,133403,9891,130428,140319,626,5426,6052
